Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Customer_Value_Proxy_MYR,Churn_Probability,Customer_Segment,Priority_Score,Recommended_Action
Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,84.6,0.8461538461538461,Low Value + High Risk,71.58461538461538,Use low-cost retention action
Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,108.8,0.5437262357414449,Low Value + High Risk,59.1574144486692,Use low-cost retention action
Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1045.0,0.3333333333333333,Low Value + Low Risk,348.3333333333333,No immediate action
Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1116.0,0.5684931506849316,Low Value + High Risk,634.4383561643837,Use low-cost retention action
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,48.55,0.5437262357414449,Low Value + High Risk,26.397908745247147,Use low-cost retention action
Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,140.8,0.5684931506849316,Low Value + High Risk,80.04383561643837,Use low-cost retention action
Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,40.2,0.5437262357414449,Low Value + High Risk,21.857794676806083,Use low-cost retention action
Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,89.2,0.5437262357414449,Low Value + High Risk,48.50038022813688,Use low-cost retention action
Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,123.44999999999999,0.5437262357414449,Low Value + High Risk,67.12300380228136,Use low-cost retention action
Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1389.7,0.7546583850931677,Low Value + High Risk,1048.7487577639752,Use low-cost retention action
Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1141.65,0.020599250936329586,Low Value + Low Risk,23.517134831460673,No immediate action
Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1511.2,0.7546583850931677,High Value + High Risk,1140.439751552795,Prioritize retention offer
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,24.8,0.5437262357414449,Low Value + High Risk,13.484410646387833,Use low-cost retention action
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,70.6,0.8977272727272727,Low Value + High Risk,63.37954545454545,Use low-cost retention action
Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,427.0,0.7546583850931677,Low Value + High Risk,322.2391304347826,Use low-cost retention action
Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,5462.599999999999,0.5088495575221239,High Value + High Risk,2779.6415929203536,Prioritize retention offer
Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1712.7,0.32798165137614677,High Value + Low Risk,561.7341743119266,Maintain relationship
Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,70.0,0.8977272727272727,Low Value + High Risk,62.840909090909086,Use low-cost retention action
Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,596.0,0.5684931506849316,Low Value + High Risk,338.8219178082192,Use low-cost retention action
Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,448.5,0.19444444444444445,Low Value + Low Risk,87.20833333333333,No immediate action
Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1826.3999999999999,0.5088495575221239,High Value + High Risk,929.362831858407,Prioritize retention offer
Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,73.6,0.8977272727272727,Low Value + High Risk,66.07272727272726,Use low-cost retention action
Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,381.8,0.7546583850931677,Low Value + High Risk,288.12857142857143,Use low-cost retention action
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,2396.8,0.5088495575221239,High Value + High Risk,1219.6106194690267,Prioritize retention offer
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,403.0,0.5684931506849316,Low Value + High Risk,229.1027397260274,Use low-cost retention action
Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,3051.4,0.10276679841897234,High Value + Low Risk,313.5826086956522,Maintain relationship
Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,2235.6000000000004,0.5088495575221239,High Value + High Risk,1137.5840707964603,Prioritize retention offer
Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,4452.3,0.10276679841897234,High Value + Low Risk,457.5486166007905,Maintain relationship
Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,140.7,0.5684931506849316,Low Value + High Risk,79.98698630136987,Use low-cost retention action
Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,516.9499999999999,0.5684931506849316,Low Value + High Risk,293.88253424657535,Use low-cost retention action
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,161.2,0.5684931506849316,Low Value + High Risk,91.64109589041097,Use low-cost retention action
Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,5154.4,0.10276679841897234,High Value + Low Risk,529.701185770751,Maintain relationship
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,4497.8,0.5088495575221239,High Value + High Risk,2288.703539823009,Prioritize retention offer
Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,6514.200000000001,0.22826086956521738,High Value + Low Risk,1486.9369565217391,Maintain relationship
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,180.8,0.7546583850931677,Low Value + High Risk,136.44223602484473,Use low-cost retention action
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,339.2,0.7546583850931677,Low Value + High Risk,255.9801242236025,Use low-cost retention action
Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,879.9,0.2679738562091503,Low Value + Low Risk,235.79019607843136,No immediate action
Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,802.5,0.5684931506849316,Low Value + High Risk,456.2157534246576,Use low-cost retention action
Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,830.25,0.2679738562091503,Low Value + Low Risk,222.48529411764704,No immediate action
Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,482.5,0.7546583850931677,Low Value + High Risk,364.12267080745346,Use low-cost retention action
Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,171.3,0.7546583850931677,Low Value + High Risk,129.27298136645965,Use low-cost retention action
Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,2623.75,0.32798165137614677,High Value + Low Risk,860.5418577981651,Maintain relationship
Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,50.65,0.5437262357414449,Low Value + High Risk,27.53973384030418,Use low-cost retention action
Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,90.85,0.8977272727272727,Low Value + High Risk,81.55852272727272,Use low-cost retention action
Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,219.45,0.0711743772241993,Low Value + Low Risk,15.619217081850534,No immediate action
Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,4699.75,0.5088495575221239,High Value + High Risk,2391.4657079646017,Prioritize retention offer
Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,2514.3,0.32798165137614677,High Value + Low Risk,824.6442660550458,Maintain relationship
Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,6862.05,0.22826086956521738,High Value + Low Risk,1566.3374999999999,Maintain relationship
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,19.9,0.35,Low Value + Low Risk,6.964999999999999,No immediate action
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,19.6,0.35,Low Value + Low Risk,6.86,No immediate action
Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,244.04999999999998,0.5684931506849316,Low Value + High Risk,138.74075342465753,Use low-cost retention action
Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes,1832.6,0.5088495575221239,High Value + High Risk,932.5176991150443,Prioritize retention offer
Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,75.3,0.8977272727272727,Low Value + High Risk,67.59886363636363,Use low-cost retention action
Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,Yes,1183.3999999999999,0.030100334448160536,Low Value + Low Risk,35.62073578595317,No immediate action
Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes,544.8,0.19444444444444445,Low Value + Low Risk,105.93333333333332,No immediate action
Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes,6354.0,0.22826086956521738,High Value + Low Risk,1450.3695652173913,Maintain relationship
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,69.55,0.8977272727272727,Low Value + High Risk,62.43693181818181,Use low-cost retention action
Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,2269.4,0.5088495575221239,High Value + High Risk,1154.783185840708,Prioritize retention offer
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes,404.6,0.7546583850931677,Low Value + High Risk,305.33478260869566,Use low-cost retention action
Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes,698.6,0.7546583850931677,Low Value + High Risk,527.204347826087,Use low-cost retention action
Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,Yes,727.35,0.38513513513513514,Low Value + Low Risk,280.12804054054055,No immediate action
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes,55.0,0.5437262357414449,Low Value + High Risk,29.904942965779465,Use low-cost retention action
Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,74.7,0.8977272727272727,Low Value + High Risk,67.06022727272727,Use low-cost retention action
Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,Yes,1926.0,0.5088495575221239,High Value + High Risk,980.0442477876106,Prioritize retention offer
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,Yes,480.5,0.7546583850931677,Low Value + High Risk,362.6133540372671,Use low-cost retention action
Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,Yes,1035.0,0.5684931506849316,Low Value + High Risk,588.3904109589041,Use low-cost retention action
